,original_file,size_of_file,resolution,retain_data,loss_in_data,encrpyt_time,decrypt_time
0,900-Men-in-Black-l.jpg,104772,900 x 1600,100,0,16.293,38.498000000000005
1,001 (36).jpg,121274,736 x 1240,100,0,20.33,50.236000000000004
2,1-1305251S305.jpg,108803,720 x 1280,100,0,17.54,40.156
3,10.jpeg,9192,225 x 225,100,0,0.539,0.622
4,11.jpeg,6989,225 x 225,100,0,0.45899999999999996,0.456
5,12-01-15 - 1.png,198312,640 x 960,100,0,50.468,129.958
6,arun11.png,8413,422 x 750,100,0,0.54,0.575
7,arun15.jpg,47913,640 x 1136,100,0,3.966,8.749
8,arun16.jpg,151355,750 x 1334,100,0,29.149,77.066
9,arun17.jpg,22404,640 x 1136,100,0,1.295,2.314
10,arun18.PNG,153749,1080 x 1920,100,0,29.956,78.957
11,arun19.jpg,166999,1080 x 1920,100,0,38.205,94.13600000000001
12,arun20.jpg,73033,1080 x 1920,100,0,8.231,19.419
13,2017 - 5.jpg,137182,758 x 1349,100,0,25.868000000000002,64.062
14,20466.jpg,76806,1152 x 864,100,0,9.052,21.675
15,248803.jpg,37869,2560 x 1440,100,0,2.822,5.909
16,3.jpeg,7279,225 x 225,100,0,0.5589999999999999,0.501
17,4.jpeg,6029,225 x 225,100,0,0.452,0.401
18,5.jpeg,16091,225 x 225,100,0,0.965,1.463
19,5_6246923103310446622.jpg,170810,1080 x 1920,100,0,37.27,97.926
20,5_6246923103310446623.jpg,172606,1080 x 1920,100,0,39.025999999999996,99.34899999999999
21,6.jpeg,16091,225 x 225,100,0,0.887,1.381
22,7.jpeg,3298,225 x 225,100,0,0.344,0.23199999999999998
23,8.jpeg,2788,225 x 225,100,0,0.34700000000000003,0.213
24,9.jpeg,4412,225 x 225,100,0,0.37799999999999995,0.28800000000000003
25,autumn.png,122203,2560 x 1600,100,0,19.468,50.54
26,Aviao.png,46566,2880 x 1800,100,0,4.394,8.467
27,12.01.12.png,49450,2560 x 1600,100,0,4.359,9.623
28,15 - 1.png,54594,540 x 960,100,0,4.793,11.145999999999999
29,18.jpeg,12820,225 x 225,100,0,0.74,1.025
30,2017 - 17.jpg,105840,1080 x 1920,100,0,15.94,38.847
31,900-Anything-l.jpg,121838,900 x 1600,100,0,20.435,51.045
32,900-Boba-Fett-l.jpg,125901,900 x 1600,100,0,21.345,54.555
33,900-Calm-Down-l.jpg,191636,900 x 1600,100,0,48.011,123.156
34,900-Despicable-Me-l.jpg,155201,900 x 1600,100,0,32.124,81.085
35,glossglockner.jpg,188320,1440 x 2560,100,0,45.341,118.541
36,good_old_times.png,40044,2880 x 1800,100,0,3.037,6.351
37,Halloween_SKeleTON.png,82314,2560 x 1600,100,0,9.883,24.035999999999998
38,hangmoonwp.png,48566,2560 x 1600,100,0,3.877,8.839
39,highPoint_2880x1800.png,80276,2880 x 1800,100,0,9.527999999999999,23.058000000000003
40,http_3A_2F_2F41.media.tumblr.com_2Fd59ad85839876b1c7be9b3cf2cff47ce_2Ftumblr_ni3x4tLMBL1t0rituo1_1280.jpg,194232,1024 x 1594,100,0,49.119,125.829
41,i k html.png,133415,720 x 1280,100,0,23.634,60.152
42,IMG-20140722-WA0008.jpg,67442,451 x 800,100,0,6.894,16.795
43,IMG_20141120_175225.jpg,25581,720 x 1280,100,0,1.58,2.949
44,portraits 4k app walls (5).png,173990,702 x 1200,100,0,38.972,102.789
45,portraits 4k app walls (8).jpg,158714,634 x 1080,100,0,38.37,85.084
46,portraits 4k app walls (9).jpg,106819,736 x 1308,100,0,15.806,39.694
47,pulppixel22.png,19081,2560 x 1600,100,0,1.1,1.808
48,rainyDay_2880x1800.png,52352,2880 x 1800,100,0,4.768,10.462
49,Rio2.png,102068,2880 x 1800,100,0,14.967,37.583
50,portraits 4k app walls (19).jpg,106163,951 x 1688,100,0,16.484,39.889
51,portraits 4k app walls (2).jpg,151905,838 x 1440,100,0,30.25,78.788
52,portraits 4k app walls (23).jpg,124757,760 x 1350,100,0,21.391,53.785
