original_file,size_of_file,retain_data,loss_in_data,encrpyt_time,decrypt_time
900-Men-in-Black-l.jpg,104772,100,0,16.293,38.498
001 (36).jpg,121274,100,0,20.33,50.236
1-1305251S305.jpg,108803,100,0,17.54,40.156
10.jpeg,9192,100,0,0.539,0.622
11.jpeg,6989,100,0,0.459,0.456
12-01-15 - 1.png,198312,100,0,50.468,129.958
arun11.png,8413,100,0,0.54,0.575
arun15.jpg,47913,100,0,3.966,8.749
arun16.jpg,151355,100,0,29.149,77.066
arun17.jpg,22404,100,0,1.295,2.314
arun18.PNG,153749,100,0,29.956,78.957
arun19.jpg,166999,100,0,38.205,94.136
arun20.jpg,73033,100,0,8.231,19.419
2017 - 5.jpg,137182,100,0,25.868,64.062
20466.jpg,76806,100,0,9.052,21.675
248803.jpg,37869,100,0,2.822,5.909
3.jpeg,7279,100,0,0.559,0.501
4.jpeg,6029,100,0,0.452,0.401
5.jpeg,16091,100,0,0.965,1.463
5_6246923103310446622.jpg,170810,100,0,37.27,97.926
5_6246923103310446623.jpg,172606,100,0,39.026,99.349
6.jpeg,16091,100,0,0.887,1.381
7.jpeg,3298,100,0,0.344,0.232
8.jpeg,2788,100,0,0.347,0.213
9.jpeg,4412,100,0,0.378,0.288
autumn.png,122203,100,0,19.468,50.54
Aviao.png,46566,100,0,4.394,8.467
12.01.12.png,49450,100,0,4.359,9.623
15 - 1.png,54594,100,0,4.793,11.146
18.jpeg,12820,100,0,0.74,1.025
2017 - 17.jpg,105840,100,0,15.94,38.847
900-Anything-l.jpg,121838,100,0,20.435,51.045
900-Boba-Fett-l.jpg,125901,100,0,21.345,54.555
900-Calm-Down-l.jpg,191636,100,0,48.011,123.156
900-Despicable-Me-l.jpg,155201,100,0,32.124,81.085
glossglockner.jpg,188320,100,0,45.341,118.541
good_old_times.png,40044,100,0,3.037,6.351
Halloween_SKeleTON.png,82314,100,0,9.883,24.036
hangmoonwp.png,48566,100,0,3.877,8.839
highPoint_2880x1800.png,80276,100,0,9.528,23.058
http_3A_2F_2F41.media.tumblr.com_2Fd59ad85839876b1c7be9b3cf2cff47ce_2Ftumblr_ni3x4tLMBL1t0rituo1_1280.jpg,194232,100,0,49.119,125.829
i k html.png,133415,100,0,23.634,60.152
IMG-20140722-WA0008.jpg,67442,100,0,6.894,16.795
IMG_20141120_175225.jpg,25581,100,0,1.58,2.949
portraits 4k app walls (5).png,173990,100,0,38.972,102.789
portraits 4k app walls (8).jpg,158714,100,0,38.37,85.084
portraits 4k app walls (9).jpg,106819,100,0,15.806,39.694
pulppixel22.png,19081,100,0,1.1,1.808
rainyDay_2880x1800.png,52352,100,0,4.768,10.462
Rio2.png,102068,100,0,14.967,37.583
portraits 4k app walls (19).jpg,106163,100,0,16.484,39.889
portraits 4k app walls (2).jpg,151905,100,0,30.25,78.788
portraits 4k app walls (23).jpg,124757,100,0,21.391,53.785
portraits 4k app walls (3).jpg,89911,100,0,12.169,28.612
12.jpeg,8618,100,0,0.579,0.651
13-01-15 - 12.jpg,13455,100,0,0.883,1.242
13-01-15 - 22.jpg,108117,100,0,17.233,40.158
13.jpeg,9234,100,0,0.579,0.668
14 - 1 (1).jpg,88628,100,0,11.12,27.957
14 - 1.jpg,45728,100,0,3.775,8.167
14 - 5.jpg,149881,100,0,34.421,77.449
14.jpeg,5888,100,0,0.538,0.416
1411210684550.jpg,64349,100,0,6.303,15.08
15 - 1 (3).jpg,102401,100,0,14.326,36.961
15 - 1 (4).jpg,50019,100,0,4.465,9.654
15 - 1 (6).jpg,179049,100,0,40.542,107.339
15 - 1.jpg,28893,100,0,1.975,3.6
15 - 2.jpg,151760,100,0,29.838,78.41
15 - 4.jpg,89385,100,0,11.145,27.733
15 - 6.jpg,137053,100,0,24.733,63.324
15.jpeg,18936,100,0,1.068,1.782
16.jpeg,8750,100,0,0.541,0.594
17.jpeg,6989,100,0,0.48,0.456
900-Batman-DC-Comics-l.jpg,161206,100,0,34.265,87.981
900-Bruce-Lee-Quotes-l.jpg,118440,100,0,22.227,47.979
900-Chimpanzee-Cigars-Rose-l.jpg,132699,100,0,24.802,60.489
900-Headphones-Music-l.jpg,199384,100,0,52.75,133.836
900-Hearts-Love-l.jpg,122954,100,0,20.769,53.049
900-Kite-l.jpg,45386,100,0,4.06,8.048
900-Minimalistic-Funny-l.jpg,163651,100,0,35.887,90.388
900-programming-l.jpg,145254,100,0,30.854,71.996
900-Some-Kind-of-Nerd-l.jpg,200851,100,0,55.397,133.767
900-Sword-l.jpg,187512,100,0,45.802,115.549
900-War-Text-Quote-l.jpg,187947,100,0,44.221,116.965
A Sky Full Of Stars iPhone 6 Wallpaper - Copy.jpg,177655,100,0,42.366,106.053
Abduction.png,50932,100,0,4.429,9.994
2.jpeg,5725,100,0,0.468,0.402
2014 - 1 (1).jpg,97480,100,0,14.351,32.532
2015 - 1 (2).png,183155,100,0,41.679,111.707
